lr,step,time,train_loss,train_metric,val_loss,val_metric
0.001000,371,4.790192,0.156200,0.156200,0.161929,0.161929
0.001000,372,4.760272,0.136422,0.136422,0.164632,0.164632
0.001000,373,4.800165,0.151913,0.151913,0.163270,0.163270
0.001000,374,4.767255,0.146902,0.146902,0.163129,0.163129
0.001000,375,4.718383,0.162779,0.162779,0.160902,0.160902
0.001000,376,4.744314,0.130180,0.130180,0.160420,0.160420
0.001000,377,4.897904,0.146431,0.146431,0.159749,0.159749
0.001000,378,4.759274,0.188572,0.188572,0.161432,0.161432
0.001000,379,4.732346,0.126109,0.126109,0.161223,0.161223
0.001000,380,4.724369,0.147655,0.147655,0.161090,0.161090
0.001000,381,4.789195,0.160502,0.160502,0.160837,0.160837
0.001000,382,4.803179,0.168414,0.168414,0.160082,0.160082
0.001000,383,4.747283,0.153016,0.153016,0.159490,0.159490
0.001000,384-best,4.784208,0.151305,0.151305,0.157958,0.157958
0.001000,385,4.790191,0.169701,0.169701,0.158143,0.158143
0.001000,386-best,4.770246,0.152755,0.152755,0.157429,0.157429
0.001000,387-best,4.746310,0.129482,0.129482,0.157186,0.157186
0.001000,388,4.766257,0.168219,0.168219,0.158906,0.158906
0.001000,389,4.859035,0.148186,0.148186,0.160399,0.160399
0.001000,390,4.855018,0.130705,0.130705,0.160615,0.160615
0.001000,391,4.780220,0.158610,0.158610,0.159945,0.159945
0.001000,392,4.683477,0.147572,0.147572,0.159093,0.159093
0.001000,393,4.771243,0.146048,0.146048,0.158751,0.158751
0.001000,394,4.743317,0.186493,0.186493,0.158733,0.158733
0.001000,395,4.784207,0.160402,0.160402,0.158618,0.158618
0.001000,396,4.742320,0.165162,0.165162,0.158170,0.158170
0.001000,397,4.762266,0.126909,0.126909,0.157945,0.157945
0.001000,398,4.722395,0.151222,0.151222,0.157853,0.157853
0.001000,399,4.783211,0.144303,0.144303,0.157827,0.157827
0.001000,400,4.740325,0.152668,0.152668,0.157480,0.157480
0.001000,401,4.743317,0.130672,0.130672,0.157596,0.157596
0.001000,402,4.718384,0.132763,0.132763,0.157741,0.157741
0.001000,403,4.782213,0.163836,0.163836,0.157506,0.157506
0.001000,404,4.823103,0.131268,0.131268,0.158239,0.158239
0.001000,405,4.794180,0.153989,0.153989,0.158910,0.158910
0.001000,406,4.751296,0.166609,0.166609,0.158438,0.158438
0.001000,407-best,4.749302,0.139832,0.139832,0.157162,0.157162
0.001000,408-best,4.830086,0.163546,0.163546,0.157126,0.157126
0.001000,409,4.753292,0.153018,0.153018,0.158214,0.158214
0.001000,410,4.816123,0.141254,0.141254,0.158233,0.158233
0.001000,411-best,4.775254,0.152362,0.152362,0.157084,0.157084
0.001000,412-best,4.787199,0.173511,0.173511,0.157018,0.157018
0.001000,413,4.805152,0.151008,0.151008,0.157736,0.157736
0.001000,414,4.800164,0.157023,0.157023,0.158498,0.158498
0.001000,415,4.736336,0.169877,0.169877,0.157513,0.157513
0.001000,416-best,4.919845,0.157141,0.157141,0.156304,0.156304
0.001000,417-best,4.779222,0.197480,0.197480,0.155686,0.155686
0.001000,418,4.767253,0.138738,0.138738,0.156091,0.156091
0.001000,419,4.807146,0.129751,0.129751,0.156074,0.156074
0.001000,420,4.757280,0.137512,0.137512,0.156242,0.156242
0.001000,421,4.803158,0.131775,0.131775,0.156631,0.156631
0.001000,422,4.764261,0.165601,0.165601,0.157126,0.157126
0.001000,423,4.831082,0.160471,0.160471,0.157040,0.157040
